District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Hanumangarh,Mustard,Drip Irrigation,6889.199378585089,7801.751791531888
Hanumangarh,Garlic,Drip Irrigation,12947.546168249088,12369.109118120137
Ajmer,Fenugreek,Tube Well,13521.265671888106,12932.424807851938
Alwar,Fennel,Drip Irrigation,12710.18554630436,12017.69470073965
Bhilwara,Opium,Canal Irrigation,6133.059552617516,5279.555610936549
Kota,Cotton,Drip Irrigation,11348.080971156303,10803.372241039617
Sri Ganganagar,Citrus,Tube Well,10890.190634568975,10699.086675977529
Udaipur,Wheat,Tube Well,11013.95655402179,11083.625294143794
Nagaur,Mustard,Drip Irrigation,11497.932569427121,10643.111459025075
Hanumangarh,Gram,Canal Irrigation,12684.691865658902,12287.393285348644
Jodhpur,Sugarcane,Tube Well,8163.199520499352,8807.44426081746
Jaipur,Onion,Sprinkler Irrigation,9916.312265891533,9189.075186550626
Alwar,Garlic,Canal Irrigation,13943.963481004028,13232.114555920994
Udaipur,Wheat,Sprinkler Irrigation,7730.729879518505,6740.789557666515
Nagaur,Pomegranate,Drip Irrigation,8971.757271053142,9468.350444518728
Udaipur,Bajra,Tube Well,14424.594625033218,15127.51232771632
Kota,Oilseeds,Sprinkler Irrigation,8666.711731395135,9336.20846513126
Ajmer,Gram,Sprinkler Irrigation,11873.42203702272,12008.007325968321
Jaipur,Garlic,Tube Well,12262.89999826493,11409.18914258203
Jodhpur,Cotton,Drip Irrigation,7696.485269314778,7857.676576132166
Udaipur,Guava,Sprinkler Irrigation,12361.200413289489,11830.26611078133
Sri Ganganagar,Coriander,Drip Irrigation,13279.315411497582,12914.887285965033
Bhilwara,Mango,Canal Irrigation,9255.73704320351,8560.526967311776
Nagaur,Guava,Canal Irrigation,14431.507674880544,13768.786696692505
Udaipur,Maize,Sprinkler Irrigation,14175.39300940438,14457.070098084112
Sri Ganganagar,Guava,Sprinkler Irrigation,13238.444726642765,12901.570627237445
Bhilwara,Tomato,Tube Well,10119.608326045878,9730.551918936548
Hanumangarh,Gram,Sprinkler Irrigation,13269.830423106021,12433.77780927833
Sri Ganganagar,Pulses,Sprinkler Irrigation,8443.310384900395,9215.982049058186
Jodhpur,Mustard,Drip Irrigation,13915.548102979274,14178.801091901783
Nagaur,Cumin,Tube Well,12124.622960993805,11550.1443333464
Jaipur,Garlic,Canal Irrigation,10546.981890410336,11544.43824043404
Bhilwara,Fennel,Sprinkler Irrigation,9864.564863409383,9311.178158658093
Nagaur,Sugarcane,Sprinkler Irrigation,11408.142767529587,11428.96675421716
Alwar,Guava,Drip Irrigation,11797.271396413676,12493.23507662141
Nagaur,Fenugreek,Sprinkler Irrigation,12237.943642439866,11518.68502775404
Kota,Oilseeds,Sprinkler Irrigation,12623.944736670115,12590.951568124978
Udaipur,Barley,Sprinkler Irrigation,13625.997549273043,13089.497364481675
Sri Ganganagar,Guava,Sprinkler Irrigation,5463.334821739253,4876.882971174255
Udaipur,Pomegranate,Tube Well,10986.5068597392,11749.610822375753
Jaipur,Fennel,Canal Irrigation,6547.55675032349,7484.439551995902
Sri Ganganagar,Cotton,Sprinkler Irrigation,8243.694955155122,8000.731989268779
Nagaur,Fennel,Drip Irrigation,10108.798491204981,9861.456053292071
Ajmer,Chilli,Tube Well,9040.477636459944,9775.916480202439
Bhilwara,Onion,Drip Irrigation,10039.872681502624,9317.809295656883
Kota,Maize,Drip Irrigation,12174.971023916056,11736.590040615803
Kota,Oilseeds,Sprinkler Irrigation,9562.572362274219,9997.17777918241
Jodhpur,Fenugreek,Sprinkler Irrigation,10023.930484985809,9684.38001547191
Jodhpur,Onion,Tube Well,10952.760107700857,11134.34190531922
Alwar,Wheat,Sprinkler Irrigation,5660.778337315934,5807.75136002047
Kota,Pulses,Drip Irrigation,15473.720640240846,14767.450840411006
Kota,Cotton,Sprinkler Irrigation,10569.079039696418,10379.991672629045
Nagaur,Fennel,Drip Irrigation,14838.990137550125,15294.938768445518
Sri Ganganagar,Mustard,Sprinkler Irrigation,8966.382229719027,9951.933877134985
Bhilwara,Oilseeds,Sprinkler Irrigation,11379.850697869399,11581.5281266918
Nagaur,Oilseeds,Canal Irrigation,8123.689169801193,8494.87149740953
Bhilwara,Coriander,Drip Irrigation,8372.023489117902,8142.947254601598
Jodhpur,Wheat,Sprinkler Irrigation,9738.809833035884,10557.48827921491
Alwar,Pulses,Drip Irrigation,6936.134038941243,7739.350475666325
Nagaur,Barley,Drip Irrigation,7608.3618690241055,7927.147091350755
Nagaur,Garlic,Drip Irrigation,12398.89445386274,12948.635299998346
Alwar,Chilli,Tube Well,10866.568942210219,9953.445508883182
Hanumangarh,Citrus,Sprinkler Irrigation,13144.776431944945,13109.02332769862
Alwar,Guava,Drip Irrigation,10456.905822899735,9965.941879256481
Ajmer,Mustard,Canal Irrigation,11010.511135154286,11097.973179045339
Sri Ganganagar,Bajra,Drip Irrigation,13129.226692336822,13708.071656947071
Nagaur,Chilli,Drip Irrigation,10096.85948031672,9846.919243726605
Ajmer,Opium,Canal Irrigation,9522.028580500164,8735.195013399081
Alwar,Fennel,Canal Irrigation,8385.900627192734,8458.110408952138
Nagaur,Guava,Canal Irrigation,13430.304223144425,13225.212519535375
Ajmer,Citrus,Tube Well,8172.130833919184,8290.318493226177
Bhilwara,Cotton,Canal Irrigation,10624.11967032099,11172.508638810974
Alwar,Pulses,Drip Irrigation,12439.312570998183,12332.502325828622
Kota,Gram,Sprinkler Irrigation,9523.558287517295,10095.72053330405
Hanumangarh,Coriander,Drip Irrigation,5538.563916976957,6467.704419725993
Jaipur,Mustard,Sprinkler Irrigation,10049.309655292225,10249.800538812135
Jodhpur,Mustard,Canal Irrigation,9925.04313554487,9085.122608936475
Jaipur,Pomegranate,Tube Well,12430.000920777598,12472.012007218716
Nagaur,Barley,Sprinkler Irrigation,11739.96657445796,11617.91067154043
Ajmer,Fenugreek,Canal Irrigation,7548.906592675259,8116.825483382676
Hanumangarh,Chilli,Sprinkler Irrigation,11562.628120069247,11910.676882093607
Udaipur,Maize,Drip Irrigation,15589.499647461174,14763.18527260925
Sri Ganganagar,Pomegranate,Canal Irrigation,10606.799754701833,10417.701688402874
Ajmer,Chilli,Drip Irrigation,14039.97778318551,13177.212127059627
Jodhpur,Garlic,Canal Irrigation,13431.996635439302,13550.224369334617
Nagaur,Guava,Canal Irrigation,15723.137926734662,15276.153624128907
Nagaur,Bajra,Tube Well,14997.40127750347,15147.2147209951
Sri Ganganagar,Oilseeds,Tube Well,10576.850490417639,10694.111916156957
Hanumangarh,Sugarcane,Canal Irrigation,15500.344924920275,16106.229410064989
Sri Ganganagar,Garlic,Canal Irrigation,12972.564533118784,13904.675444384997
Nagaur,Onion,Sprinkler Irrigation,12363.476396534357,13285.953847137585
Bhilwara,Fenugreek,Tube Well,13261.730452220554,13985.77701076982
Bhilwara,Gram,Canal Irrigation,6675.29486715658,6942.618462272957
Ajmer,Fenugreek,Sprinkler Irrigation,15246.384146707001,15071.2360910857
Udaipur,Chilli,Drip Irrigation,10782.352421224177,10309.051804009998
Sri Ganganagar,Mustard,Tube Well,10292.964248658973,10935.113627644034
Jodhpur,Garlic,Sprinkler Irrigation,10458.52150130596,10165.597353738303
Nagaur,Cotton,Sprinkler Irrigation,14597.972600245725,14964.187217293262
Ajmer,Onion,Sprinkler Irrigation,8254.397480989708,7738.510516679636
Sri Ganganagar,Bajra,Sprinkler Irrigation,8015.789943240331,7515.180811134246
Nagaur,Guava,Sprinkler Irrigation,12720.050229301334,11959.807214610877
Jodhpur,Fenugreek,Tube Well,13241.427371924963,13769.915797196018
Hanumangarh,Barley,Tube Well,7845.401422103929,7476.235234047764
Nagaur,Cotton,Tube Well,7012.390638232034,7540.915289103889
Hanumangarh,Cotton,Tube Well,7916.243268285924,8069.573640980744
Jaipur,Chilli,Tube Well,8611.594224580509,8693.130115764163
Hanumangarh,Guava,Tube Well,13501.913894552534,14053.721822262356
Bhilwara,Gram,Tube Well,10309.74413278893,9326.58134242818
Ajmer,Pomegranate,Drip Irrigation,8947.575189658968,9173.131382382511
Sri Ganganagar,Oilseeds,Canal Irrigation,8321.910311537484,8264.601041014395
Nagaur,Mango,Canal Irrigation,6690.538829813716,6538.424590635602
Alwar,Opium,Canal Irrigation,8713.367047755462,8514.55224259991
Bhilwara,Oilseeds,Sprinkler Irrigation,14257.656706814867,14629.680531097853
Jodhpur,Cotton,Sprinkler Irrigation,10648.635443523577,11361.252921013338
Ajmer,Pulses,Sprinkler Irrigation,11571.450294350527,10590.934876545321
Alwar,Onion,Sprinkler Irrigation,15794.364878857681,16493.144709651002
Hanumangarh,Garlic,Canal Irrigation,11615.543568882862,11215.611933189759
Hanumangarh,Cumin,Drip Irrigation,9821.907159120288,10202.993511041577
Jaipur,Bajra,Canal Irrigation,10801.46794297284,11061.19236769715
Bhilwara,Mango,Canal Irrigation,10303.143063732674,10423.843133361202
Sri Ganganagar,Guava,Drip Irrigation,11239.896931979318,10942.077911639002
Nagaur,Bajra,Sprinkler Irrigation,13310.561301146403,12879.778764805287
Udaipur,Fenugreek,Tube Well,11920.798236995697,11814.658471161372
Jodhpur,Pomegranate,Canal Irrigation,8894.338097395119,9807.526959373892
Kota,Fennel,Canal Irrigation,9567.094383577227,9791.714659844123
Alwar,Mustard,Drip Irrigation,7805.805261684476,7262.241140460223
Udaipur,Fennel,Canal Irrigation,13617.594027439578,13828.363973487902
Alwar,Cotton,Tube Well,12929.811518334089,13807.351188252578
Nagaur,Chilli,Tube Well,9414.820995712615,8782.593393919382
Jaipur,Pulses,Sprinkler Irrigation,12139.678217037952,13020.552891713944
Jodhpur,Bajra,Sprinkler Irrigation,8773.89368826008,7965.001126225239
Bhilwara,Garlic,Drip Irrigation,7540.588909948632,7334.613951468971
Jodhpur,Gram,Canal Irrigation,9703.994033910087,8872.616567214072
Alwar,Sugarcane,Sprinkler Irrigation,8378.546779749731,7946.897339865909
Kota,Pulses,Sprinkler Irrigation,7523.340710338875,7850.438980946485
Udaipur,Onion,Tube Well,14784.880566358923,14866.048889143489
Sri Ganganagar,Garlic,Tube Well,7078.901354866095,7975.873619180134
Hanumangarh,Oilseeds,Tube Well,11261.951906393766,11533.654179245437
Nagaur,Citrus,Canal Irrigation,13924.507397867561,13887.81076327199
Ajmer,Mustard,Tube Well,9974.913485101766,9799.321096290163
Kota,Sugarcane,Drip Irrigation,4673.530139030418,5304.289717352194
Kota,Guava,Canal Irrigation,11790.377379409494,10807.01160060224
Bhilwara,Onion,Canal Irrigation,5216.115117278447,5076.985743816914
Sri Ganganagar,Coriander,Sprinkler Irrigation,12819.701166378392,12916.125557851386
Ajmer,Citrus,Tube Well,9142.72144958202,8469.260440242599
Alwar,Pomegranate,Sprinkler Irrigation,8859.254551777858,8703.733317285243
Ajmer,Chilli,Canal Irrigation,7193.762968446644,7679.616752708947
Sri Ganganagar,Citrus,Sprinkler Irrigation,14313.652266157122,13678.466624162407
Sri Ganganagar,Gram,Tube Well,13899.578536529938,13443.846797433187
Nagaur,Onion,Sprinkler Irrigation,7674.505236316711,6978.803846551449
Hanumangarh,Wheat,Sprinkler Irrigation,15030.828888411264,14595.057963562873
Kota,Opium,Tube Well,11713.575597562296,11179.196593474207
Kota,Wheat,Tube Well,8293.472954496736,8133.9590087916895
Bhilwara,Guava,Tube Well,12295.9121685754,11359.386411415342
Jodhpur,Pulses,Drip Irrigation,7859.77735777015,7644.620907966212
Hanumangarh,Onion,Sprinkler Irrigation,8106.842771036894,8789.921346917414
Alwar,Wheat,Drip Irrigation,17436.658861569078,17866.023904150672
Alwar,Tomato,Sprinkler Irrigation,12397.295998233249,11464.316581373798
Bhilwara,Gram,Sprinkler Irrigation,10993.572617344913,11356.457257460619
Sri Ganganagar,Mango,Sprinkler Irrigation,10154.201508119824,9238.573339309287
Hanumangarh,Chilli,Drip Irrigation,7487.903069313856,7764.943093397904
Ajmer,Guava,Drip Irrigation,14423.56033139029,13859.136829500496
Jodhpur,Maize,Tube Well,10244.54510741359,9579.265820230163
Sri Ganganagar,Cumin,Drip Irrigation,9902.32195555745,9388.50062204374
Jaipur,Cumin,Tube Well,11813.863956351528,11123.847841213574
Jodhpur,Maize,Sprinkler Irrigation,10498.528886484333,10870.418173995517
Udaipur,Fennel,Drip Irrigation,5720.46258592584,6009.612379221677
Hanumangarh,Gram,Sprinkler Irrigation,11018.71278219827,10652.191900272384
Hanumangarh,Fennel,Canal Irrigation,14418.795731745891,14296.233527939086
Ajmer,Wheat,Tube Well,8806.521618816289,8075.985966338193
Jaipur,Onion,Tube Well,10512.709135143094,10598.177288754481
Bhilwara,Bajra,Sprinkler Irrigation,11182.195017454564,10829.556768838142
Bhilwara,Cotton,Sprinkler Irrigation,6330.7856216517,5640.836577802354
Sri Ganganagar,Cotton,Canal Irrigation,10020.004762222214,10571.84057690723
Hanumangarh,Pomegranate,Sprinkler Irrigation,16874.74553314306,17114.21474628351
Udaipur,Coriander,Sprinkler Irrigation,8666.7337132878,7793.4172264864355
Hanumangarh,Pomegranate,Sprinkler Irrigation,10332.608111518599,10327.706430657694
Hanumangarh,Pulses,Canal Irrigation,8326.867964725256,8608.675824295402
Jodhpur,Gram,Drip Irrigation,6869.831372919312,7745.430446236576
Kota,Barley,Sprinkler Irrigation,6837.301126519677,6220.534406981013
Jaipur,Cumin,Tube Well,11147.15480774997,11198.797532978793
Nagaur,Cotton,Drip Irrigation,10525.627139803491,10737.534388268392
Jodhpur,Wheat,Sprinkler Irrigation,13591.319447713124,14448.126886589862
Jodhpur,Tomato,Drip Irrigation,8693.042664756425,9179.997546577162
Alwar,Guava,Drip Irrigation,10909.236473687695,10440.867742681026
Jaipur,Mustard,Canal Irrigation,7376.595449031643,6808.395575473758
Hanumangarh,Gram,Drip Irrigation,11668.942599222019,11732.264702026963
Ajmer,Bajra,Sprinkler Irrigation,12010.235000744762,12905.241689859598
Hanumangarh,Garlic,Tube Well,10209.993231380526,10742.56007141263
Nagaur,Guava,Tube Well,13422.897316960503,13277.047297547628
Jodhpur,Oilseeds,Sprinkler Irrigation,9623.49357990071,9632.879140912633
Kota,Garlic,Tube Well,15454.102805513314,16259.072746818758
Hanumangarh,Mango,Canal Irrigation,9724.950329141511,9991.431973512485
Udaipur,Coriander,Sprinkler Irrigation,10012.453335854096,9440.309607941537
Hanumangarh,Cotton,Canal Irrigation,14058.359719160719,13953.359297157218
Alwar,Wheat,Drip Irrigation,15865.558366480329,16057.0840197279
Hanumangarh,Pulses,Canal Irrigation,6123.28217491978,7092.071025553381
Ajmer,Mango,Drip Irrigation,13700.15472438814,14586.850536877519
Sri Ganganagar,Garlic,Sprinkler Irrigation,8202.166113463592,8122.905724786111
Kota,Pulses,Canal Irrigation,7848.415367611162,8012.726780330902
Ajmer,Cotton,Canal Irrigation,7931.240742611578,7730.837239567106
Ajmer,Mustard,Canal Irrigation,13273.221145849826,12619.02612756247
Nagaur,Gram,Canal Irrigation,5766.843841556208,6383.526185877871
Alwar,Mustard,Drip Irrigation,12394.914901537331,12063.694190483873
Alwar,Citrus,Drip Irrigation,13566.56146372588,13019.996806450185
Nagaur,Wheat,Tube Well,7085.039933091349,7133.806636118571
Udaipur,Garlic,Sprinkler Irrigation,8827.436798711788,9222.974103899924
Kota,Barley,Tube Well,16966.708188788925,17472.388594809985
Nagaur,Chilli,Drip Irrigation,6838.008501116947,6417.574559430321
Alwar,Pulses,Sprinkler Irrigation,9014.602706045545,8966.31201484029
Jaipur,Garlic,Tube Well,7315.642422803417,7112.69649753523
Alwar,Opium,Sprinkler Irrigation,13325.864924977834,13287.709928929862
Ajmer,Onion,Tube Well,12922.992209038044,12315.190809824486
Nagaur,Chilli,Sprinkler Irrigation,7836.617509962219,7369.131691349225
Alwar,Mango,Drip Irrigation,5186.493863293048,5013.657968224709
Udaipur,Guava,Sprinkler Irrigation,9063.443426358393,9251.197724440535
Jaipur,Sugarcane,Sprinkler Irrigation,15539.121484762074,15771.563473671082
Bhilwara,Coriander,Sprinkler Irrigation,10367.017016437918,11215.443430244772
Ajmer,Bajra,Canal Irrigation,8318.884321148758,8775.857826955147
Jodhpur,Gram,Drip Irrigation,7310.516573320171,7552.521458497928
Kota,Sugarcane,Drip Irrigation,9707.720859514511,10316.28240678311
Sri Ganganagar,Tomato,Tube Well,6944.652112238872,6362.671194487277
Hanumangarh,Bajra,Sprinkler Irrigation,8975.988385016752,9476.698682521683
Hanumangarh,Onion,Sprinkler Irrigation,12647.394072570156,12983.915236426968
Alwar,Cumin,Drip Irrigation,7880.682859486857,7000.902958638193
Ajmer,Opium,Canal Irrigation,6424.95874781007,6734.474491440844
Jaipur,Mustard,Tube Well,12358.597811221049,12684.56108266136
Udaipur,Gram,Drip Irrigation,8211.862079159344,8978.666709459912
Alwar,Maize,Tube Well,9862.175811883151,10281.553408553595
Udaipur,Onion,Drip Irrigation,7703.977881248385,7705.279526986143
Bhilwara,Garlic,Drip Irrigation,5666.525490876168,6511.065722244342
Sri Ganganagar,Mango,Tube Well,8504.656216008223,7818.666717189888
Udaipur,Fenugreek,Canal Irrigation,9823.318137159888,9427.97056036593
Hanumangarh,Cotton,Drip Irrigation,10295.83897113062,11053.19351951294
Jaipur,Garlic,Canal Irrigation,8565.309493471692,8248.881799168526
Alwar,Fenugreek,Sprinkler Irrigation,7104.261819383395,6868.676063092212
Nagaur,Fennel,Sprinkler Irrigation,8072.30297878866,8218.100084708218
Alwar,Sugarcane,Canal Irrigation,9362.076829937281,8625.62109447374
Kota,Cumin,Sprinkler Irrigation,15406.776229929901,15024.773022254267
Hanumangarh,Pulses,Tube Well,13493.23355507468,14444.787373211879
Kota,Fennel,Sprinkler Irrigation,8446.121405967951,8560.80200215509
Jodhpur,Oilseeds,Canal Irrigation,14182.05859351723,13473.104255191363
Jaipur,Mango,Tube Well,15798.492764136838,15405.18897408914
Sri Ganganagar,Pulses,Sprinkler Irrigation,6785.848113412989,6155.341106562124
Nagaur,Coriander,Canal Irrigation,10766.265101986839,10990.989144863073
Nagaur,Maize,Sprinkler Irrigation,13919.757912352534,13638.280581421637
Bhilwara,Pulses,Tube Well,14565.828790098942,14313.747592359943
Alwar,Onion,Tube Well,7946.074223357719,7332.59388231474
Jaipur,Citrus,Drip Irrigation,14451.167395875025,15351.563480854858
Ajmer,Fenugreek,Sprinkler Irrigation,11783.79351662264,10916.06616509242
Bhilwara,Coriander,Tube Well,11178.389131663578,11911.938941976936
Ajmer,Citrus,Tube Well,13664.465760846535,13880.325676689125
Alwar,Mango,Tube Well,11984.850101027714,12469.785810443604
Nagaur,Garlic,Drip Irrigation,12183.567907091836,12086.78709221916
Jaipur,Maize,Tube Well,15820.68530880267,14899.188553287644
Alwar,Chilli,Drip Irrigation,6549.980603033487,6429.088352466406
Sri Ganganagar,Sugarcane,Tube Well,8287.169651559421,7876.009102233691
Jaipur,Opium,Sprinkler Irrigation,9156.962290614878,9449.165306474275
Jodhpur,Chilli,Drip Irrigation,7325.435418825231,7496.330860265611
Hanumangarh,Pulses,Tube Well,9965.279230719025,9867.050940413174
Kota,Tomato,Sprinkler Irrigation,16725.482440218235,15905.841762797176
Udaipur,Opium,Sprinkler Irrigation,16342.001794986403,15589.090228657271
Jodhpur,Opium,Tube Well,12416.921321169872,11587.534409238495
Alwar,Chilli,Sprinkler Irrigation,9235.75433111018,8996.968349632474
Kota,Mango,Sprinkler Irrigation,7857.810877155319,7147.025624984559
Jaipur,Citrus,Canal Irrigation,9565.529047362708,10102.789892084593
Bhilwara,Sugarcane,Sprinkler Irrigation,6831.659050671791,6094.801114295962
Ajmer,Wheat,Canal Irrigation,7206.720663202068,7201.975878003664
Bhilwara,Garlic,Drip Irrigation,11735.78922686951,11722.722819395802
Ajmer,Cumin,Tube Well,10585.552883352288,10469.303606347761
Nagaur,Coriander,Drip Irrigation,8748.63748627271,8843.320705439002
Nagaur,Fennel,Sprinkler Irrigation,6711.782325812918,6008.294662172299
Udaipur,Barley,Sprinkler Irrigation,14832.508657982531,15166.50174387492
Nagaur,Sugarcane,Canal Irrigation,13401.81102342736,12499.87374892496
Alwar,Oilseeds,Sprinkler Irrigation,11376.127032901617,11598.306544998924
Nagaur,Cumin,Sprinkler Irrigation,13079.78237278331,13578.451990838032
Udaipur,Barley,Drip Irrigation,13484.29435143773,13129.938053118769
Alwar,Mustard,Tube Well,14648.344762040924,13778.196495082222
Bhilwara,Pulses,Drip Irrigation,12812.418804264462,12361.255889767928
Hanumangarh,Citrus,Sprinkler Irrigation,14315.806041499125,14539.913531355973
Jodhpur,Cumin,Drip Irrigation,10347.173309142738,10724.481865651427
Sri Ganganagar,Citrus,Canal Irrigation,8894.466283038912,9044.751661063256
Nagaur,Guava,Sprinkler Irrigation,10270.030482685705,10262.824333580063
Bhilwara,Onion,Sprinkler Irrigation,13412.853956212637,12878.297235189719
Sri Ganganagar,Bajra,Drip Irrigation,7555.182637629052,7484.953906376214
Jodhpur,Bajra,Tube Well,10552.238407119408,10219.822920987055
Hanumangarh,Fennel,Sprinkler Irrigation,5922.306322157758,5324.680600017939
Sri Ganganagar,Cotton,Drip Irrigation,8707.160736238753,8720.53999043077
Udaipur,Wheat,Drip Irrigation,10324.886925504925,10007.61009596493
Nagaur,Coriander,Drip Irrigation,13006.81020001245,12394.841359808492
Udaipur,Fenugreek,Tube Well,15513.859918500217,16108.368686158066
Kota,Onion,Sprinkler Irrigation,12314.619379003692,13098.736032583529
Hanumangarh,Mango,Tube Well,13709.565523085254,13537.471653753624
Jaipur,Chilli,Canal Irrigation,11139.655331742759,11496.050581042506
Hanumangarh,Garlic,Drip Irrigation,7879.9240187193955,8250.910619412252
Udaipur,Mustard,Sprinkler Irrigation,7961.273257073144,7023.619586451517
Alwar,Fennel,Sprinkler Irrigation,11917.248200955246,11696.380748741763
Nagaur,Gram,Canal Irrigation,12867.18760691163,12496.186403700083
Jaipur,Cotton,Tube Well,7114.8269052854575,7868.924370527042
Udaipur,Tomato,Canal Irrigation,7527.310611136752,7131.947208397775
Jodhpur,Guava,Drip Irrigation,10200.743281888017,11027.450974222134
Bhilwara,Chilli,Drip Irrigation,14638.506608605743,15448.418209851956
Kota,Bajra,Canal Irrigation,13627.383745214727,14092.265878726615
Hanumangarh,Sugarcane,Canal Irrigation,6660.721628092192,7404.319598969058
Hanumangarh,Fenugreek,Sprinkler Irrigation,8390.834977945087,7463.940051804904
Alwar,Opium,Drip Irrigation,5800.3312305362715,6665.005918577928
Nagaur,Mustard,Canal Irrigation,11283.217833061306,10375.497373109887
Hanumangarh,Fenugreek,Canal Irrigation,6585.009329568442,7101.996970905105
Ajmer,Mango,Sprinkler Irrigation,8261.508813837763,7814.807891173893
Udaipur,Tomato,Drip Irrigation,7299.1242196292615,6614.1162492013445
Jodhpur,Wheat,Drip Irrigation,8811.686998813719,8512.323274661952
Udaipur,Cotton,Sprinkler Irrigation,14868.039335541484,15476.045012455754
Nagaur,Maize,Sprinkler Irrigation,6395.942030126154,6622.467797158109
Udaipur,Garlic,Tube Well,6549.114928721748,5607.100301127031
Jaipur,Gram,Tube Well,5332.452630456012,5185.384120876067
Kota,Opium,Tube Well,12018.702822006033,11643.584124308098
Ajmer,Opium,Drip Irrigation,13243.461740163486,13754.947611306055
Bhilwara,Cumin,Sprinkler Irrigation,5911.526944172414,6516.227940447497
Bhilwara,Gram,Tube Well,7454.83477981267,7743.671999739621
Bhilwara,Onion,Sprinkler Irrigation,16143.440665335738,15430.88403289291
Nagaur,Cotton,Canal Irrigation,8929.086542001554,9328.31578416641
Udaipur,Mango,Tube Well,11980.729545143184,11111.459942774924
Jodhpur,Guava,Tube Well,9607.273703457908,8948.876793062544
Udaipur,Coriander,Sprinkler Irrigation,8766.605505241958,8577.977469719748
Jodhpur,Mango,Drip Irrigation,11665.672132028874,11731.163263885537
Alwar,Cumin,Tube Well,9154.015304161989,8641.397426260628
Kota,Onion,Tube Well,6491.731743996843,5908.208035622279
Nagaur,Citrus,Tube Well,10496.03314727643,10180.43481654812
Ajmer,Oilseeds,Drip Irrigation,12856.79532254267,13280.61296568126
Bhilwara,Gram,Tube Well,9376.414689603527,8571.72250798685
Bhilwara,Oilseeds,Canal Irrigation,16234.683034964259,15373.89830462311
Jodhpur,Fenugreek,Tube Well,10242.599253257446,10532.577484153513
Jaipur,Mustard,Sprinkler Irrigation,12872.892360428836,13647.415433577084
Jaipur,Pulses,Sprinkler Irrigation,8740.542057141769,8323.548564150778
